"sgrna","linear","quadratic","freq","mean_delta","frac_low","frac_high","q10_dev","q25_dev","q50_dev","q75_dev","q90_dev","wasserstein_dist"
"sg01",-0.0362602796518181,0.0258664284468199,34,-0.404774977524488,0.294117647058824,0.0294117647058824,-0.496659554204388,-0.795224951707311,0.177787337349868,-0.463861863758972,-0.754226594180722,0.446841145470114
"sg02",-0.118912933029074,0.103771757547165,44,-1.20518257019688,0.477272727272727,0.0227272727272727,-0.766445192655819,-1.12892783585832,-1.40491323409552,-1.35124149102471,-1.34796346796447,1.20486358645638
"sg03",-0.130524218253769,0.154155676753181,42,-1.25932953079407,0.571428571428571,0,-0.794984189299896,-1.13545586655675,-1.70981287542427,-1.37342332565134,-1.25567808721766,1.25926759112518
"sg04",-0.110391728565296,0.105522205082054,37,-1.13239441436409,0.432432432432432,0.027027027027027,-0.874437782026634,-1.04617998825244,-1.23619346726501,-1.09403662061952,-1.15829261447496,1.13216812022559
"sg05",-0.072965627149207,0.0586401973110357,50,-0.705335617094358,0.36,0,-0.650677374776832,-0.962982828399342,-0.231005789584394,-0.816297970628309,-1.02235510361346,0.705453203718089
"sg06",0.0961671324632824,-0.0171123989071706,45,0.987332221620745,0,0.311111111111111,1.27887797451515,1.0465005046755,0.998813898763832,0.961641373597757,0.749948255335124,0.987454765538171
"sg07",0.0921809550655421,-0.0175594817018684,57,0.900028200621112,0,0.263157894736842,1.11244530900821,1.12143744780827,0.95018306831439,0.884743711169509,0.850958197766809,0.901581910957188
"sg08",0.10198726916465,-0.0212084790813555,67,1.07332848637944,0,0.298507462686567,1.5323503889454,1.21736616787766,1.10195840772235,1.08403448804453,0.717176898842183,1.07347003151457
"sg09",0.0859230225105308,-0.0113673822118431,53,0.775661960475096,0,0.245283018867925,1.05288106150843,0.976823446271101,0.710097609381434,0.830411070068038,0.930662495758959,0.776051111811948
"sg10",0.117528925218304,-0.00999671278632854,66,1.19057944384018,0,0.257575757575758,1.34563706372809,1.44131802306186,1.38342689003546,0.873508092914435,0.874497719885319,1.19092262441314
"sg11",0.00673367744692582,0.0219036191394157,76,0.126119590074337,0.105263157894737,0.157894736842105,-0.0341710903744588,0.0858414899296243,0.046007171151313,0.169400575039321,0.29107159716709,0.180255512448871
"sg12",0.0100422553343524,-0.0185570030611688,56,0.0910065875972261,0.0892857142857143,0.0714285714285714,0.0210946296286512,0.039342066034445,0.541463384156298,0.0962827893504645,-0.174274544753324,0.165801345975934
"sg13",-0.0135784280859428,-0.0245823912733569,56,-0.147258388764671,0.0714285714285714,0.0535714285714286,0.0985393539647124,-0.0236326746162376,-0.224125336960309,-0.325775463500641,-0.452833176907358,0.219438228076622
"sg14",-0.019449549298442,-0.0304339519040216,50,-0.199962493180017,0.08,0.02,0.234454465609703,0.0427565186276304,-0.255602498493689,-0.515302715696068,-0.396231969618967,0.285738002289265
"sg15",-0.00850292383448329,-0.0309509265213591,59,-0.0014146734703484,0.0338983050847458,0.0338983050847458,0.294590245694987,0.16063768694784,0.152758089195997,-0.265913871137993,-0.254097789629556,0.186665965586266
"sg16",0.00398078428860378,0.024923098240686,47,0.00895411887042386,0.127659574468085,0.127659574468085,-0.0850912227191518,-0.190797367839284,-0.234057610928829,0.0598703485545791,0.0600343367075507,0.194217204031619
"sg17",0.0163984144508383,-0.0285578960018113,62,0.175776787453504,0.0483870967741935,0.0645161290322581,0.250684395330321,0.0279716069206888,0.671263657870352,0.0504642834870754,-0.376005014003386,0.288707816730006
"sg18",-0.000962608300808257,-0.0253047809931728,44,-0.00989020156301557,0.0454545454545455,0.0454545454545455,0.457863069692843,0.225725043541139,-0.1699081646848,-0.183236687744873,-0.19712301926559,0.244095893512489
"sg19",0.0125453820404729,-0.00472326069127865,59,0.131659748427454,0.135593220338983,0.0847457627118644,-0.105417401374977,-0.0107787603601697,0.187626241020803,0.259718591398794,-0.114870251954819,0.228677926897871
"sg20",0.0136139857366561,0.00663275702496822,52,0.119587813493592,0.0576923076923077,0.134615384615385,0.200506106034213,-0.0508058511107361,0.102112295025343,0.263608721175888,0.0336120896316476,0.197165816156338
"sg21",0.0142816706090431,-0.0253900002864021,43,0.148388631193663,0.0465116279069767,0.0697674418604651,0.234590860575686,0.0989826890543206,0.705677755149544,-0.110519908164214,-0.373808400800923,0.221315661281224
"sg22",-0.01249046534528,0.0214712313961609,44,-0.034687378767325,0.136363636363636,0.0909090909090909,-0.0539121458669722,-0.0631185073616116,-0.229286655885112,0.260637020811044,-0.0684691745857116,0.184012296840039
"sg23",-0.0204004088503061,0.022652278363158,72,-0.192884688347377,0.0833333333333333,0.125,0.0453338765652749,-0.262833793001723,-0.481087185933092,-0.285411534510299,0.213156975406283,0.290260534272088
"sg24",-0.00129000333951355,-0.0195617308040366,51,-0.0411192031673355,0.0784313725490196,0.0392156862745098,0.102465232215138,0.115007793551641,-0.447056569044555,-0.047371938395548,-0.146792480012531,0.17734202553467
"sg25",-0.0248040247790145,-0.0102442778660584,64,-0.198246216652505,0.09375,0.046875,0.0742534758400559,-0.111458822262128,-0.295166758270007,-0.216622656603388,-0.380044413503452,0.240125605008967
"sg26",0.0212160968542706,-0.0164208221713327,51,0.221616335067312,0.0588235294117647,0.0980392156862745,0.326463517222958,0.0804039870652531,0.558462470957313,0.243729072995524,-0.278719589645032,0.254117485534728
"sg27",-0.039726438835473,0.00425336385461697,49,-0.43473999049362,0.142857142857143,0.0612244897959184,-0.143654175798005,-0.153974842358313,-0.388345634903049,-0.99678016458839,-0.544833301471536,0.45129782555621
"sg28",0.0115287476551233,-0.0144187366351657,62,0.15525919075032,0.0645161290322581,0.112903225806452,0.112080716674891,0.0565157520708599,0.299605581316385,0.181608601053433,0.0876125019712308,0.185437197258882
"sg29",0.0101435511199824,-0.0118211999431742,59,0.130510677795209,0.0508474576271186,0.101694915254237,0.33996132807245,0.244489043697598,0.0105333012009492,-0.0773483797200818,-0.145660087289709,0.163678236314169
"sg30",-0.00194528962552223,-0.0269797722543162,54,-0.0557013213893995,0.037037037037037,0.111111111111111,0.405686694442597,0.179727078402182,-0.167803487610225,-0.0418133337052051,-0.0634783931872782,0.26316195465959
"sg31",0.00814057936265733,0.00570459150350805,60,0.142721875117568,0.0666666666666667,0.1,0.144914432138904,-0.0456069080091535,0.00617013509562803,0.327654549518391,-0.0557639668493941,0.199381156509733
"sg32",0.00338968519937021,-0.00372945489167811,52,0.0321880030703223,0.0769230769230769,0.0769230769230769,0.0326289114778771,0.103944406035492,0.0378936037882056,0.161030128456268,-0.21208001012322,0.161881652967598
"sg33",0.0129162885640318,0.0135167435487265,60,0.155623235791284,0.15,0.133333333333333,-0.116042947112049,0.0206505949608253,0.179538110663643,0.199230842087127,0.281949459204689,0.227202621026911
"sg34",0.00245430573598133,0.044302330452153,44,0.0329669942134494,0.159090909090909,0.136363636363636,-0.147029859543025,-0.108366286214704,-0.436027089949249,0.534521276241152,0.214783482941058,0.25515778772287
"sg35",-0.00699106361732646,-0.0106347735045919,60,-0.132690987746262,0.0833333333333333,0.0666666666666667,0.188399520194819,-0.125396014522309,-0.390739517674644,-0.263339848779857,-0.317043567637201,0.214104377873823
"sg36",-0.0310325129837648,0.0119787049856768,44,-0.300944937102772,0.0681818181818182,0.136363636363636,0.082434880617976,-0.231497952826762,-0.49104218223372,-0.7693157804749,0.273675981667568,0.369979731550455
"sg37",-0.034191194277733,-0.00659795051741789,57,-0.357215040871935,0.140350877192982,0.0350877192982456,-0.117974280425772,-0.0200128045135557,-0.259470129098194,-0.809636611475826,-0.347332409576783,0.363202225998986
